,Store ID,UPC,Price,Banner,Northern California,New York,Kansas,Texas
0,66999,268588472,24.95,Whole Foods,49.19,6.59,1.99,37.39
1,66999,475245085,49.71,Whole Foods,49.19,6.59,1.99,37.39
2,66999,126967843,25.75,Whole Foods,49.19,6.59,1.99,37.39
3,66999,708930835,18.81,Whole Foods,49.19,6.59,1.99,37.39
4,66999,325885139,33.32,Whole Foods,49.19,6.59,1.99,37.39
5,66999,509419735,40.43,Whole Foods,49.19,6.59,1.99,37.39
6,66999,736362595,35.1,Whole Foods,49.19,6.59,1.99,37.39
7,66999,652377244,33.65,Whole Foods,49.19,6.59,1.99,37.39
8,66999,277394644,22.3,Whole Foods,49.19,6.59,1.99,37.39
9,66999,996849471,12.32,Whole Foods,49.19,6.59,1.99,37.39
10,66999,278354885,18.25,Whole Foods,49.19,6.59,1.99,37.39
11,66999,215480572,17.35,Whole Foods,49.19,6.59,1.99,37.39
12,66999,526069074,9.53,Whole Foods,49.19,6.59,1.99,37.39
13,66999,265077864,9.94,Whole Foods,49.19,6.59,1.99,37.39
14,66999,627831552,55.21,Whole Foods,49.19,6.59,1.99,37.39
15,66999,992105314,36.82,Whole Foods,49.19,6.59,1.99,37.39
16,66999,39408244,61.56,Whole Foods,49.19,6.59,1.99,37.39
17,66999,372268051,1.34,Whole Foods,49.19,6.59,1.99,37.39
18,66999,375916960,32.01,Whole Foods,49.19,6.59,1.99,37.39
19,66999,742726716,44.76,Whole Foods,49.19,6.59,1.99,37.39
20,66999,243131192,2.65,Whole Foods,49.19,6.59,1.99,37.39
21,66999,388544851,52.15,Whole Foods,49.19,6.59,1.99,37.39
22,66999,905914857,48.86,Whole Foods,49.19,6.59,1.99,37.39
23,66999,226080317,2.22,Whole Foods,49.19,6.59,1.99,37.39
24,66999,502816606,32.2,Whole Foods,49.19,6.59,1.99,37.39
25,66999,986134213,61.77,Whole Foods,49.19,6.59,1.99,37.39
26,66999,714264288,16.64,Whole Foods,49.19,6.59,1.99,37.39
27,66999,585091176,20.64,Whole Foods,49.19,6.59,1.99,37.39
28,66999,645118810,38.82,Whole Foods,49.19,6.59,1.99,37.39
29,66999,81313305,56.14,Whole Foods,49.19,6.59,1.99,37.39
30,66999,213387822,37.47,Whole Foods,49.19,6.59,1.99,37.39
31,66999,226008184,9.23,Whole Foods,49.19,6.59,1.99,37.39
32,66999,252888653,14.12,Whole Foods,49.19,6.59,1.99,37.39
33,66999,561425157,12.8,Whole Foods,49.19,6.59,1.99,37.39
34,66999,396134202,39.06,Whole Foods,49.19,6.59,1.99,37.39
35,66999,546802474,47.3,Whole Foods,49.19,6.59,1.99,37.39
36,66999,333664376,35.67,Whole Foods,49.19,6.59,1.99,37.39
37,66999,981510405,62.82,Whole Foods,49.19,6.59,1.99,37.39
38,66999,90756884,38.67,Whole Foods,49.19,6.59,1.99,37.39
39,66999,19696884,6.21,Whole Foods,49.19,6.59,1.99,37.39
40,66999,303530277,50.26,Whole Foods,49.19,6.59,1.99,37.39
41,66999,173173585,46.64,Whole Foods,49.19,6.59,1.99,37.39
42,66999,506732002,57.75,Whole Foods,49.19,6.59,1.99,37.39
43,66999,60042797,13.84,Whole Foods,49.19,6.59,1.99,37.39
44,66999,795937333,24.25,Whole Foods,49.19,6.59,1.99,37.39
45,66999,916097175,17.61,Whole Foods,49.19,6.59,1.99,37.39
46,66999,291765113,37.8,Whole Foods,49.19,6.59,1.99,37.39
47,66999,963229417,48.24,Whole Foods,49.19,6.59,1.99,37.39
48,66999,256001467,26.97,Whole Foods,49.19,6.59,1.99,37.39
49,66999,205698731,3.97,Whole Foods,49.19,6.59,1.99,37.39
50,66999,899571200,23.1,Whole Foods,49.19,6.59,1.99,37.39
51,66999,163383455,6.02,Whole Foods,49.19,6.59,1.99,37.39
