Northern California,New York,Kansas,Texas,Hawaii,Banner,UPC
24.95,22.13,,,,Walmart,268588472
49.71,44.12,42.41,,,Walmart,475245085
25.75,22.83,21.9,22.1,,Walmart,126967843
18.81,16.66,16.02,,,Walmart,708930835
33.32,,,28.77,,Walmart,325885139
40.43,35.82,34.43,34.8,,Walmart,509419735
35.1,31.22,,30.35,,Walmart,736362595
33.65,29.87,28.65,,,Walmart,652377244
22.3,19.85,19.04,19.2,,Walmart,277394644
12.32,11.04,,10.64,,Walmart,996849471
18.25,16.12,15.55,15.74,,Walmart,278354885
17.35,15.35,14.75,14.93,,Walmart,215480572
9.53,,,8.2,,Walmart,526069074
9.94,8.85,8.45,8.5,,Walmart,265077864
55.21,49.05,47.17,47.52,,Walmart,627831552
36.82,32.66,31.43,31.7,,Walmart,992105314
61.56,54.64,52.45,53.07,,Walmart,39408244
1.34,1.27,1.17,1.15,,Walmart,372268051
32.01,28.45,27.33,27.66,,Walmart,375916960
44.76,39.63,38.12,,,Walmart,742726716
2.65,2.32,2.22,2.23,,Walmart,243131192
52.15,46.32,,44.94,,Walmart,388544851
48.86,,,42.04,,Walmart,905914857
2.22,1.91,,1.95,,Walmart,226080317
32.2,28.55,27.4,,,Walmart,502816606
61.77,54.74,52.64,53.14,,Walmart,986134213
16.64,14.75,,14.32,,Walmart,714264288
20.64,18.2,17.51,17.76,,Walmart,585091176
38.82,,33.12,,,Walmart,645118810
56.14,,,48.32,,Walmart,81313305
37.47,33.21,,32.22,,Walmart,213387822
9.23,8.16,,7.95,,Walmart,226008184
14.12,12.55,12.14,,,Walmart,252888653
12.8,11.47,,11.15,,Walmart,561425157
39.06,34.63,33.27,,,Walmart,396134202
47.3,42.02,40.36,,,Walmart,546802474
35.67,31.65,,30.64,,Walmart,333664376
62.82,55.77,53.53,,,Walmart,981510405
38.67,34.33,32.95,,,Walmart,90756884
6.21,5.54,,,,Walmart,19696884
50.26,44.63,,43.37,,Walmart,303530277
46.64,41.33,39.75,,,Walmart,173173585
57.75,51.25,49.26,49.74,,Walmart,506732002
13.84,12.32,,11.92,,Walmart,60042797
24.25,21.42,,,,Walmart,795937333
17.61,15.65,15.07,,,Walmart,916097175
37.8,,,,,Walmart,291765113
48.24,42.7,,,,Walmart,963229417
26.97,,,,,Walmart,256001467
3.97,3.55,3.35,3.46,,Walmart,205698731
23.1,,,,,Walmart,899571200
6.02,5.45,5.21,5.23,,Walmart,163383455
41.95,37.23,35.77,36.15,,Walmart,769464973
12.46,11.11,,,,Walmart,927312846
3.16,2.85,2.77,,,Walmart,699701113
31.82,28.2,27.17,,,Walmart,115681900
5.3,4.8,4.62,4.64,,Walmart,383194572
43.11,,,37.1,,Walmart,339765937
19.93,17.76,,,,Walmart,690069404
41.12,,35.06,,,Walmart,95658838
8.7,7.75,7.42,,,Walmart,850719150
11.91,10.64,,,,Walmart,643110527
42.4,37.62,36.14,36.52,,Walmart,127838957
3.66,3.22,,3.15,,Walmart,353556196
17.07,15.13,,,,Walmart,582214622
19.73,17.53,16.87,,,Walmart,928259579
52.41,46.53,44.72,,,Walmart,311149036
26.91,23.94,23.0,,,Walmart,388197861
28.12,24.91,23.92,24.24,,Walmart,774949377
29.56,26.23,,,,Walmart,503341824
43.05,38.23,36.7,,,Walmart,205812283
28.92,25.64,,24.92,,Walmart,98441419
6.22,5.5,5.34,5.3,,Walmart,786293238
54.77,48.52,46.67,,,Walmart,438682627
15.65,13.95,13.36,,,Walmart,434688119
8.4,7.47,7.23,7.23,,Walmart,529559570
29.81,26.41,25.46,,,Walmart,678539677
42.37,37.62,36.11,36.56,,Walmart,643891644
43.81,38.95,37.44,37.85,,Walmart,311513952
14.44,,,12.45,,Walmart,243934119
48.93,43.41,41.71,,,Walmart,442236507
39.72,,,34.21,,Walmart,196109651
1.83,,1.52,,,Walmart,45845527
21.25,18.8,18.13,18.32,,Walmart,94769945
41.32,,35.21,35.57,,Walmart,872889619
34.55,,,29.74,,Walmart,314756902
32.82,29.17,,28.26,,Walmart,962019991
43.2,38.34,36.83,37.2,,Walmart,827631041
21.7,19.32,18.55,18.74,,Walmart,220433295
32.81,29.15,27.91,28.24,,Walmart,132458395
5.53,,,4.75,,Walmart,11873171
28.83,25.55,24.66,,,Walmart,278003538
20.13,17.97,17.24,17.37,,Walmart,927693101
53.93,47.81,45.92,46.4,,Walmart,932170886
49.75,44.14,42.4,42.87,,Walmart,395790602
50.47,44.75,43.03,43.47,,Walmart,363461563
22.16,19.67,,,,Walmart,395515572
22.06,19.52,18.76,18.91,,Walmart,617543188
59.35,52.63,50.55,,,Walmart,587031338
40.51,35.96,34.51,,,Walmart,222633181
50.53,44.82,43.11,,,Walmart,723934665
54.56,48.46,46.57,46.92,,Walmart,849425547
5.37,4.73,4.54,4.61,,Walmart,449986246
37.52,33.31,32.07,32.32,,Walmart,81927167
33.27,,,28.6,,Walmart,915191199
25.1,22.34,,,,Walmart,333967502
59.73,53.0,50.92,,,Walmart,27866264
18.87,,,,,Walmart,978196729
16.67,14.73,14.16,,,Walmart,923891080
50.84,45.07,43.31,43.73,,Walmart,391122766
18.37,16.3,,15.84,,Walmart,25313327
43.73,38.87,,,,Walmart,187405236
15.83,,13.57,13.64,,Walmart,574010167
35.17,31.11,,30.2,,Walmart,454788216
20.76,18.45,,,,Walmart,683810722
0.93,0.84,,0.86,,Walmart,557637639
51.83,45.9,44.15,,,Walmart,269161785
33.46,29.71,28.52,28.86,,Walmart,440309024
58.25,51.67,49.61,,,Walmart,795655973
18.94,16.87,16.15,16.37,,Walmart,152458350
62.32,55.32,,53.75,,Walmart,584598491
45.9,40.81,39.25,,,Walmart,189565540
61.34,54.3,52.2,52.76,,Walmart,254804864
24.05,21.31,,20.7,,Walmart,967167461
51.8,46.05,44.27,44.65,,Walmart,749133422
34.06,30.21,29.03,,,Walmart,119616993
19.31,,,,,Walmart,583382498
1.03,0.92,0.93,,,Walmart,499640947
60.02,53.26,,51.75,,Walmart,70124770
41.66,36.93,,35.85,,Walmart,536411687
0.94,0.85,0.86,0.81,,Walmart,604272498
18.67,16.64,15.92,,,Walmart,157966725
22.11,19.62,18.93,19.1,,Walmart,435304991
39.23,34.87,33.43,33.75,,Walmart,883713851
55.36,49.16,,47.65,,Walmart,441404447
49.34,43.72,,,,Walmart,223905761
5.34,,4.62,4.66,,Walmart,551067349
18.97,16.81,16.16,16.33,,Walmart,793865483
27.25,24.12,,,,Walmart,877162041
47.62,42.25,,,,Walmart,549873373
43.25,38.3,,,,Walmart,866416138
